2026-07-05 14:21:48,883 | WARNING | user_logger | Ls-Dyna not support keywords: *DATABASE_CROSS_SECTION_PLANE_ID
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_ADD_EROSION_TITLE
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_BARLAT_YLD2000
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *CONTACT_AUTOMATIC_SURFACE_TO_SURFACE_ID
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *HOURGLASS_TITLE
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *DEFINE_TABLE_2D_TITLE
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *SET_SHELL_LIST
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_MODIFIED_PIECEWISE_LINEAR_PLASTICITY_TITLE
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *DEFINE_TABLE
2026-07-05 14:21:48,884 | WARNING | user_logger | Ls-Dyna not support keywords: *CONSTRAINED_NODAL_RIGID_BODY
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_ELASTIC
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *SET_PART_LIST
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *CONTACT_AUTOMATIC_SINGLE_SURFACE_ID
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *DATABASE_HISTORY_NODE
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_ADD_EROSION
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_MODIFIED_PIECEWISE_LINEAR_PLASTICITY
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *SET_PART_LIST_TITLE
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *SET_NODE_LIST
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_PIECEWISE_LINEAR_PLASTICITY_LOG_INTERPOLATION
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_RIGID_TITLE
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *DEFINE_CURVE_TITLE
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_BARLAT_YLD2000_TITLE
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_RIGID
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *DEFINE_CURVE
2026-07-05 14:21:48,885 | WARNING | user_logger | Ls-Dyna not support keywords: *MAT_PIECEWISE_LINEAR_PLASTICITY_LOG_INTERPOLATION_TITLE
2026-07-05 14:21:48,905 | INFO | user_logger | ABAQUS translation finished
2026-07-05 14:21:48,910 | INFO | user_logger | All Done

